title,age_certification,genre,imdb_rating,imdb_votes
The Ballad of Buster Scruggs,R,Comedy,7.3,"146,391"
Madam Secretary,TV-PG,Drama,7.7,"23,203"
Sweet Magnolias,TV-14,Drama,7.3,"18,682"
True Story,TV-MA,Crime,7.4,"18,325"
The Vault,R,Action,6.4,"25,121"
Pieces of a Woman,R,Drama,7,"49,524"
Gerald's Game,TV-MA,Drama,6.5,"108,970"
Sense8,TV-MA,Drama,8.2,"153,913"
Travelers,TV-MA,Drama,8,"56,239"
The Lost Daughter,R,Drama,6.7,"62,800"
Miraculous: Tales of Ladybug & Cat Noir,TV-Y7,Animation,7.6,"11,332"
Texas Chainsaw Massacre,R,Crime,4.8,"50,801"
Senior Year,R,Comedy,5.5,"36,521"
Castlevania,TV-MA,Animation,8.3,"64,403"
The Harder They Fall,R,Action,6.5,"61,698"
The OA,TV-MA,Drama,7.8,"104,258"
Fear Street: Part One - 1994,R,Drama,6.2,"79,648"
Crash Landing on You,TV-14,Adventure,8.7,"28,088"
Archive 81,TV-MA,Drama,7.3,"48,309"
Trailer Park Boys,TV-MA,Comedy,8.6,"43,638"
Ratched,TV-MA,Crime,7.2,"55,875"
GLOW,TV-MA,Comedy,8,"46,464"
The Stranger,Unknown,Crime,7.4,85
Cowboy Bebop,TV-MA,Action,6.7,"39,424"
Shooter,TV-14,Action,7.5,"36,802"
The Bubble,R,Comedy,4.7,"23,324"
Bloodline,TV-MA,Drama,7.9,"52,302"
Marriage Story,R,Drama,7.9,"303,984"
A Series of Unfortunate Events,TV-PG,Adventure,7.8,"60,640"
Hell or High Water,R,Crime,7.6,"229,943"
Dark Desire,TV-MA,Drama,6.5,"7,693"
Army of the Dead,R,Action,5.7,"171,262"
Cowboy Bebop,TV-14,Animation,8.9,"117,843"
Barbarians,TV-MA,Action,7.2,"24,243"
Atypical,TV-MA,Comedy,8.3,"87,238"
Monty Python and the Holy Grail,PG,Adventure,8.2,"538,546"
Lupin,TV-MA,Action,7.5,"105,218"
The Old Guard,R,Action,6.6,"162,921"
The Serpent,TV-MA,Crime,7.6,"43,200"
"tick, tick... BOOM!",PG-13,Biography,7.5,"103,537"
Alice in Borderland,TV-MA,Action,7.6,"50,974"
Gilmore Girls: A Year in the Life,TV-14,Comedy,7.6,"38,451"
The Babysitter,TV-MA,Comedy,6.3,"92,479"
Outlaw King,R,Action,6.9,"71,960"
Good Witch,TV-PG,Comedy,7.3,"10,753"
Extraction,R,Action,6.7,"200,239"
Army of Thieves,TV-MA,Action,6.4,"75,902"
12 Strong,R,Action,6.5,"81,719"
Into the Night,TV-MA,Drama,7.1,"32,118"
Inside Job,TV-MA,Animation,7.6,"17,662"
Major,Unknown,Action,8.2,"25,431"
Bird Box,R,Horror,6.6,"336,633"
Through My Window,TV-MA,Comedy,5.4,"10,198"
He's All That,TV-14,Comedy,4.4,"24,843"
Stay Close,TV-MA,Crime,6.9,"31,279"
Avatar: The Last Airbender,Unknown,Action,Unknown,Unknown
Top Gear,TV-PG,Adventure,8.7,"118,264"
The Lincoln Lawyer,R,Crime,7.3,"238,378"
Life of Brian,R,Comedy,8,"397,955"
Love Is Blind,TV-MA,Game-Show,6.1,"8,099"
The Pentaverate,TV-MA,Comedy,6.1,"9,498"
Pan,PG,Action,5.7,"64,414"
Crazy Ex-Girlfriend,TV-14,Comedy,7.8,"20,397"
Space Force,TV-MA,Comedy,6.7,"64,540"
Contagion,PG-13,Drama,6.8,"303,276"
Project X,R,Comedy,6.6,"210,083"
Pok??mon,TV-Y7,Animation,7.5,"42,922"
Wentworth,TV-MA,Crime,8.6,"22,295"
I Think You Should Leave with Tim Robinson,TV-MA,Comedy,7.9,"12,743"
Kingdom,TV-MA,Action,8.3,"45,888"
Windfall,R,Crime,5.7,"22,612"
Henry Danger,TV-G,Action,5.6,"5,633"
Disenchantment,TV-MA,Animation,7.2,"61,178"
The Legend of Korra,TV-PG,Animation,8.4,"120,855"
The Call,TV-MA,Crime,7.1,"32,424"
Fear Street: Part Two - 1978,R,Drama,6.7,"62,722"
The Ritual,TV-MA,Horror,6.3,"99,253"
When They See Us,TV-MA,Biography,8.9,"119,339"
Between,TV-14,Drama,5.9,"9,252"
One Piece,TV-14,Action,Unknown,Unknown
Metal Lords,R,Comedy,6.7,"26,266"
"Extremely Wicked, Shockingly Evil and Vile",R,Biography,6.7,"93,449"
Sweet Tooth,TV-14,Action,7.8,"51,170"
Into the Badlands,TV-14,Action,7.9,"46,547"
Newness,Unknown,Drama,6.3,"16,901"
Santa Clarita Diet,TV-MA,Comedy,7.8,"67,529"
Man vs. Bee,TV-PG,Short,6.7,"26,558"
Things Heard & Seen,TV-MA,Drama,5.3,"31,421"
Girl in the Picture,TV-MA,Documentary,7.2,"16,008"
Hush,R,Horror,6.6,"132,650"
Neon Genesis Evangelion,TV-MA,Animation,8.5,"68,559"
The Cuphead Show!,TV-Y7,Animation,7.4,"7,414"
A Perfect Pairing,TV-14,Comedy,6.1,"11,632"
The Woman in the Window,R,Crime,5.7,"74,469"
The Starling,PG-13,Comedy,6.3,"13,097"
Between Two Ferns: The Movie,TV-MA,Comedy,6.1,"32,734"
Aftermath,TV-MA,Drama,5.3,"16,046"
The Dirt,TV-MA,Biography,6.9,"49,568"
Firefly Lane,TV-MA,Drama,7.4,"21,296"
Vincenzo,Not Rated,Action,8.4,"17,647"
I Care a Lot,R,Comedy,6.3,"131,838"
Unbreakable Kimmy Schmidt,TV-14,Comedy,7.6,"72,009"
Munich: The Edge of War,PG-13,Biography,6.8,"29,870"
Kim's Convenience,TV-14,Comedy,8.2,"18,672"
The Chestnut Man,TV-MA,Crime,7.7,"44,386"
Security,R,Action,5.7,"19,286"
Mob Psycho 100,TV-14,Animation,8.6,"30,081"
Glitch,TV-MA,Drama,7.2,"18,276"
Night Teeth,TV-14,Action,5.6,"18,285"
Fuller House,TV-G,Comedy,6.7,"27,643"
The Kissing Booth,TV-14,Comedy,5.9,"83,980"
No One Gets Out Alive,R,Drama,5.3,"15,996"
The Weekend Away,TV-14,Crime,5.6,"23,932"
1922,TV-MA,Crime,6.2,"63,582"
Ash vs Evil Dead,TV-MA,Action,8.4,"73,097"
Warrior Nun,TV-MA,Action,6.9,"31,190"
Kingdom,TV-MA,Drama,8.5,"18,196"
Versailles,TV-MA,Biography,7.9,"16,726"
The Last Dance,TV-MA,Documentary,9.1,"119,768"
Black Summer,TV-MA,Action,6.5,"29,824"
Black Crab,TV-MA,Action,5.6,"20,283"
Murder Mystery,PG-13,Action,6,"127,206"
Dota: Dragon's Blood,TV-MA,Animation,7.8,"19,110"
Manhunt,TV-14,Biography,8.1,"59,078"
Hunt for the Wilderpeople,PG-13,Adventure,7.8,"130,345"
What Happened to Monday,TV-MA,Action,6.8,"122,876"
Kate,R,Action,6.2,"61,030"
Against the Ice,TV-MA,Adventure,6.5,"21,943"
Maniac,TV-MA,Comedy,7.7,"78,151"
Clark,TV-MA,Action,7.4,"9,365"
The Danish Girl,R,Biography,7.1,"185,277"
The Order,TV-MA,Drama,6.7,"28,610"
Intrusion,TV-14,Drama,5.2,"17,071"
Who Killed Sara?,TV-MA,Crime,6.4,"14,316"
Fractured,TV-MA,Thriller,6.4,"74,728"
Jurassic World: Camp Cretaceous,TV-PG,Animation,7.5,"8,774"
Brazen,TV-14,Crime,4.1,"12,120"
Love,TV-MA,Comedy,7.7,"42,755"
Rebecca,PG-13,Drama,6,"41,997"
The Bad Batch,R,Action,5.2,"31,725"
Marco Polo,TV-MA,Action,8,"72,672"
The Killer,Unknown,Action,Unknown,Unknown
Below Zero,TV-MA,Action,6.2,"19,509"
Insatiable,TV-MA,Comedy,6.5,"28,595"
First Kill,TV-MA,Drama,6.4,"25,843"
Awakenings,PG-13,Biography,7.8,"141,037"
The Kominsky Method,TV-MA,Comedy,8.2,"39,741"
I Am a Killer,TV-MA,Documentary,7.4,"4,287"
The Trial of the Chicago 7,R,Drama,7.7,"175,568"
Slasher,Not Rated,Crime,6.7,"14,543"
Ragnarok,TV-MA,Action,7.5,"37,517"
Triple Frontier,R,Action,6.4,"128,044"
The Society,TV-MA,Drama,7.1,"29,809"
Frontier,TV-MA,Adventure,7.1,"21,360"
Gunpowder Milkshake,R,Action,6,"43,839"
God's Favorite Idiot,TV-MA,Comedy,5.7,"5,384"
Choose or Die,MA-17,Drama,4.7,"20,030"
Moesha,TV-PG,Comedy,5.8,"3,798"
Dirty John,TV-14,Crime,7.2,"21,809"
Unorthodox,TV-MA,Drama,8,"78,975"
Indian Predator: The Butcher of Delhi,TV-MA,Documentary,6,"2,058"
To All the Boys I've Loved Before,TV-14,Comedy,7,"107,043"
His House,TV-14,Drama,6.5,"41,196"
I Am Not Okay with This,TV-MA,Comedy,7.5,"60,738"
Young Royals,TV-MA,Drama,8.3,"30,076"
Eurovision Song Contest: The Story of Fire Saga,PG-13,Comedy,6.5,"93,701"
Gangubai Kathiawadi,TV-MA,Biography,7,"54,207"
Brand New Cherry Flavor,TV-MA,Drama,7.1,"15,476"
It's Okay to Not Be Okay,TV-MA,Comedy,8.6,"23,471"
There's Someone Inside Your House,TV-MA,Horror,4.8,"16,059"
Sweet Home,TV-MA,Drama,7.3,"21,055"
Love Hard,TV-MA,Comedy,6.3,"50,967"
Hometown Cha-Cha-Cha,TV-14,Comedy,8.4,"12,059"
Set It Up,TV-14,Comedy,6.5,"53,464"
Happy!,TV-MA,Action,8.1,"38,841"
Home Team,PG,Comedy,6,"18,459"
H2O: Just Add Water,TV-PG,Drama,7.2,"15,477"
Scream: The TV Series,TV-14,Comedy,7.1,"41,077"
Z Nation,TV-14,Action,6.7,"36,710"
Hellbound,TV-MA,Crime,6.6,"23,866"
Mank,R,Biography,6.8,"74,186"
Sacred Games,TV-MA,Action,8.5,"87,403"
In the Shadow of the Moon,TV-MA,Action,6.2,"53,157"
Are You Afraid of the Dark?,TV-PG,Drama,8.2,"15,062"
The Windsors,TV-MA,Comedy,7.1,"2,783"
Hemlock Grove,TV-MA,Drama,7,"40,283"
Kota Factory,TV-14,Comedy,9.1,"71,138"
How It Ends,TV-MA,Action,5,"53,299"
Too Hot to Handle,TV-MA,Game-Show,4.7,"12,484"
My Name,TV-MA,Action,7.8,"20,967"
Clickbait,TV-MA,Crime,7.2,"52,589"
The Innocent,TV-MA,Crime,7.8,"30,505"
Till Death,R,Thriller,5.8,"21,221"
Criminal: UK,TV-MA,Crime,7.6,"18,693"
Master of None,TV-MA,Comedy,8.2,"73,214"
Knightfall,TV-14,Action,6.8,"20,356"
The Babysitter: Killer Queen,TV-MA,Comedy,5.8,"39,725"
The King's Affection,TV-PG,Drama,7.9,"3,202"
Easy,TV-MA,Comedy,6.9,"13,814"
Living with Yourself,TV-MA,Comedy,7.2,"31,253"
The Last Letter from Your Lover,TV-MA,Drama,6.7,"17,875"
Jupiter's Legacy,TV-MA,Action,6.7,"38,387"
Sword Art Online,TV-14,Animation,7.6,"45,397"
Okja,TV-MA,Action,7.3,"121,183"
Another Life,TV-MA,Adventure,5.2,"35,855"
MILF,TV-MA,Comedy,4.8,"6,369"
Roma,R,Drama,7.7,"157,396"
The Thundermans,TV-G,Action,5.6,"5,668"
The Politician,TV-14,Comedy,7.5,"22,532"
The Hand of God,R,Drama,7.3,"41,588"
The Dig,PG-13,Biography,7.1,"74,270"
Safe,TV-MA,Crime,7.2,"43,443"
Twenty Five Twenty One,TV-14,Drama,8.6,"6,849"
She,TV-MA,Crime,6.4,"5,390"
Gypsy,TV-MA,Drama,6.8,"16,552"
The Challenge,TV-14,Adventure,7.8,"3,454"
I Am All Girls,TV-MA,Crime,5.9,"6,139"
Hollywood,TV-MA,Drama,7.5,"36,652"
Blood Red Sky,TV-MA,Action,6.1,"48,309"
Selling Sunset,TV-MA,Reality-TV,6.5,"6,584"
F Is for Family,TV-MA,Animation,8,"37,225"
Stowaway,TV-MA,Adventure,5.6,"46,158"
Formula 1: Drive to Survive,TV-MA,Documentary,8.6,"39,632"
Apostle,TV-MA,Drama,6.3,"52,870"
CHIPS,R,Action,6,"48,181"
The Protector,TV-MA,Action,6.5,"34,809"
Human Resources,TV-MA,Animation,7.2,"6,188"
Vivo,PG,Animation,6.6,"18,809"
Goosebumps,TV-Y7,Fantasy,7.6,"13,649"
The Promised Neverland,TV-14,Animation,8.3,"37,094"
Everything Sucks!,TV-14,Comedy,7.5,"19,872"
The Defeated,TV-MA,Drama,7,"6,344"
Alias Grace,TV-MA,Biography,7.7,"32,897"
The DUFF,PG-13,Comedy,6.4,"94,704"
Toscana,TV-MA,Drama,5.7,"6,917"
Kung Fu Panda 3,PG,Animation,7.1,"158,187"
Rise of the Teenage Mutant Ninja Turtles,TV-Y7-FV,Animation,5.1,"3,965"
The Quick and the Dead,R,Action,6.5,"94,644"
Death Note,TV-MA,Crime,4.5,"84,893"
The Midnight Sky,PG-13,Adventure,5.6,"83,059"
Sand Castle,TV-MA,Action,6.3,"23,637"
Malcolm & Marie,R,Drama,6.6,"37,062"
Hypnotic,TV-14,Mystery,5.3,"16,263"
Holidate,TV-MA,Comedy,6.1,"64,848"
"Boo, Bitch",TV-14,Comedy,5.8,"3,457"
3%,TV-MA,Action,7.3,"25,700"
The Silent Sea,TV-MA,Adventure,6.9,"20,373"
Cursed,TV-MA,Adventure,5.9,"30,298"
We Can Be Heroes,PG,Action,4.7,"14,971"
Begin Again,R,Comedy,7.4,"156,482"
Mirage,TV-MA,Drama,7.4,"55,701"
Baki,TV-MA,Animation,6.7,"6,333"
Project Power,R,Action,6,"88,089"
Call My Agent!,TV-MA,Comedy,8.3,"14,448"
To the Lake,TV-MA,Drama,7.2,"13,051"
Erased,TV-14,Animation,8.5,"46,215"
The Cloverfield Paradox,PG-13,Action,5.5,"105,228"
Messiah,TV-MA,Drama,7.6,"43,128"
Heist,R,Action,6.1,"30,618"
Miracle in Cell No. 7,TV-14,Drama,8.2,"48,567"
Blue Jasmine,PG-13,Comedy,7.3,"202,975"
American Vandal,TV-MA,Comedy,8.1,"30,797"
The Wrong Missy,TV-MA,Comedy,5.7,"39,860"
Mr. Sunshine,TV-MA,Action,8.7,"7,620"
The Trip,TV-MA,Action,6.9,"21,751"
Welcome to Eden,TV-MA,Action,5.5,"4,529"
L.A.'s Finest,TV-14,Action,6.1,"7,787"
Along for the Ride,TV-14,Drama,6.1,"6,370"
Daybreak,TV-MA,Action,6.7,"20,392"
The Ice Road,PG-13,Action,5.6,"40,567"
Forgotten,TV-MA,Mystery,7.4,"33,550"
Hillbilly Elegy,R,Drama,6.7,"42,262"
The Dark Crystal: Age of Resistance,TV-PG,Adventure,8.4,"24,798"
Crashing,TV-MA,Comedy,7.7,"21,023"
Dogs in Space,TV-Y7,Animation,7.1,693
White Girl,TV-MA,Crime,5.7,"10,974"
Friends from College,TV-MA,Comedy,6.9,"21,028"
Spenser Confidential,R,Action,6.2,"88,002"
The F**k-It List,TV-MA,Comedy,5.1,"6,447"
Chef's Table,TV-MA,Documentary,8.5,"15,573"
The Beauty Queen of Jerusalem,TV-MA,Drama,7.2,584
Insidious: Chapter 2,PG-13,Horror,6.5,"170,491"
Seven Seconds,TV-MA,Crime,7.7,"16,561"
Itaewon Class,TV-MA,Drama,8.2,"13,538"
You Don't Know Me,TV-MA,Crime,6.8,"5,240"
"Good Morning, Ver??nica",TV-MA,Crime,7.5,"4,505"
Eli,R,Drama,5.8,"36,030"
Bordertown,TV-MA,Crime,7.6,"11,049"
Girl From Nowhere,TV-MA,Crime,7.6,"4,447"
Cuckoo,TV-14,Comedy,7.2,"9,807"
Still Game,TV-14,Comedy,8.9,"7,880"
Total Recall,PG-13,Action,6.2,"254,640"
Lilyhammer,TV-MA,Comedy,7.9,"29,675"
Winx Club,TV-Y7,Animation,6.1,"7,005"
Takers,PG-13,Action,6.2,"62,903"
Black Lightning,TV-14,Action,6.1,"25,555"
Tuca & Bertie,TV-MA,Animation,7.3,"7,337"
Velvet Buzzsaw,R,Horror,5.7,"61,331"
Bright,TV-MA,Action,6.3,"188,766"
Swallow,R,Drama,6.5,"23,642"
Katla,TV-MA,Drama,7,"13,775"
Capitani,TV-MA,Crime,6.6,"5,386"
Aileen Wuornos: American Boogeywoman,R,Drama,3.7,"1,667"
Murderville,TV-MA,Comedy,6.8,"12,015"
The Highwaymen,R,Biography,6.9,"91,163"
Prey,TV-MA,Adventure,4.3,"7,747"
Roman Empire,TV-MA,Documentary,7,"7,899"
The Rain,TV-MA,Drama,6.3,"36,959"
Fatherhood,PG-13,Comedy,6.6,"37,606"
The Staircase,TV-MA,Documentary,7.8,"24,588"
From Dusk Till Dawn: The Series,TV-MA,Action,6.8,"20,612"
Toy Boy,TV-MA,Action,6.5,"7,671"
Hold Tight,TV-MA,Crime,6.1,"2,662"
All the Bright Places,TV-MA,Drama,6.5,"31,536"
A Classic Horror Story,TV-MA,Drama,5.7,"18,171"
El Chapo,TV-MA,Biography,7.8,"18,453"
Worth,PG-13,Biography,6.8,"14,516"
Awake,TV-MA,Action,4.9,"21,862"
One Day at a Time,TV-PG,Comedy,8.1,"16,483"
The Irregulars,TV-14,Crime,5.9,"15,210"
Power Rangers Dino Fury,TV-Y7,Action,6.8,553
Mudbound,R,Drama,7.4,"49,339"
Zoo,TV-14,Drama,6.6,"24,869"
The Dragon Prince,TV-Y7,Animation,8.4,"22,684"
Oxygen,TV-14,Drama,6.5,"38,611"
Passing,PG-13,Drama,6.7,"14,513"
The Shack,PG-13,Drama,6.2,"36,034"
Sweet Girl,R,Action,5.5,"31,856"
The Devil's Own,R,Action,6.2,"66,112"
The Forest,TV-MA,Crime,7.2,"10,638"
The Spy,TV-MA,Drama,7.9,"42,038"
In from the Cold,TV-MA,Action,6.2,"7,572"
Unknown,PG-13,Action,6.8,"261,643"
An Easy Girl,TV-MA,Comedy,5.6,"5,226"
Tomorrow,TV-14,Action,7.8,"9,161"
Undercover,TV-MA,Crime,7.8,"17,309"
Kingdom,TV-MA,Animation,8.4,"1,984"
In the Tall Grass,TV-MA,Horror,5.4,"56,339"
Julie and the Phantoms,TV-G,Adventure,8.4,"10,039"
Last Man Down,R,Action,4.3,"13,092"
Someone Great,R,Comedy,6.1,"22,717"
Lost Girls,R,Crime,6.1,"21,978"
Pine Gap,TV-MA,Drama,7.1,"5,163"
The Midnight Gospel,TV-MA,Animation,8.2,"18,939"
Snabba Cash,TV-MA,Action,7.6,"8,775"
Thunder Force,PG-13,Action,4.5,"41,955"
Limitless,TV-14,Comedy,7.6,"67,426"
Alba,TV-MA,Drama,6.4,"1,351"
Young Wallander,TV-MA,Crime,6.9,"11,645"
Greenleaf,TV-14,Drama,7.4,"5,311"
The Silence,PG-13,Drama,5.3,"45,389"
Rumor Has It...,PG-13,Comedy,5.5,"58,670"
Red Riding Hood,PG-13,Fantasy,5.4,"112,459"
Black Spot,TV-MA,Crime,7.4,"11,502"
Calibre,TV-MA,Drama,6.8,"29,430"
